transaction_id,rfid,type_detail,transaction_date
7-2350-2350-20191027175134-111-5186,3058392,return,2019-10-27 17:51:00
7-1618-1618-20191030215458-101-6662,1846809,return,2019-10-30 21:54:00
7-1614-1614-20191011125445-103-5829,1207575,return,2019-10-11 12:54:00
7-1614-1614-20191010151357-102-1453,9033546114,return,2019-10-10 15:13:00
7-1618-1618-20191029105630-101-6068,9194530375,return,2019-10-29 10:56:00
7-1618-1618-20191027140240-101-5494,602715,return,2019-10-27 14:02:00
7-1618-1618-20191013125901-101-620,1174974,return,2019-10-13 12:59:00
7-1618-1618-20191012155042-101-526,1382921,return,2019-10-12 15:50:00
7-1614-1614-20191013135020-103-6605,2614422,return,2019-10-13 13:50:00
7-1618-1618-20191020140034-101-3169,1105897597,return,2019-10-20 14:00:00
7-1614-1614-20191021181830-104-8205,4938389,return,2019-10-21 18:18:00
7-1614-1614-20191014152228-103-7012,1525693,return,2019-10-14 15:22:00
7-1618-1618-20191014195806-101-972,2159487496,return,2019-10-14 19:58:00
7-1618-1618-20191016120714-101-1433,1302081,return,2019-10-16 12:07:00
7-1618-1618-20191019223730-101-3058,770910,return,2019-10-19 22:37:00
7-1614-1614-20191029181340-103-2579,7111091350,return,2019-10-29 18:13:00
7-1618-1618-20191030164526-101-6490,825765,return,2019-10-30 16:45:00
7-1614-1614-20191007123203-103-4557,2770554,return,2019-10-07 12:32:00
7-1618-1618-20191002113009-101-8036,8450991743,return,2019-10-02 11:30:00
7-1614-1614-20191003162618-103-3605,1777,return,2019-10-03 16:26:00
7-1618-1618-20191002114507-101-8041,1389662,return,2019-10-02 11:45:00
7-1618-1618-20191003171959-101-8597,4702352,return,2019-10-03 17:19:00
7-1618-1618-20191003175117-101-8603,2025470778,return,2019-10-03 17:51:00
7-1618-1618-20191003134528-101-8476,623381,return,2019-10-03 13:45:00
7-1618-1618-20191002162041-101-8173,782458,return,2019-10-02 16:20:00
7-1614-1614-20191003131931-103-3454,4730464832,return,2019-10-03 13:19:00
7-1618-1618-20191003162224-101-8566,1781413,return,2019-10-03 16:22:00
7-2350-2350-20191010164610-111-4675,90009,return,2019-10-10 16:46:00
7-2350-2350-20191007112849-101-7089,844053,return,2019-10-07 11:28:00
7-1614-1614-20191010104905-103-5385,1392277,return,2019-10-10 10:49:00
7-2350-2350-20191012112956-111-4705,804407,return,2019-10-12 11:29:00
7-2350-2350-20191007174432-111-4613,1380422,return,2019-10-07 17:44:00
7-1614-1614-20191011193657-103-6101,941473,return,2019-10-11 19:36:00
7-1614-1614-20191014182428-104-6143,9869469466,return,2019-10-14 18:24:00
7-1614-1614-20191013172318-102-2066,2950237,return,2019-10-13 17:23:00
7-1618-1618-20191026161043-101-5167,721550,return,2019-10-26 16:10:00
7-1618-1618-20191014120052-101-720,3954809,return,2019-10-14 12:00:00
7-2350-2350-20191012200435-111-4734,1380348,return,2019-10-12 20:04:00
7-1618-1618-20191026103826-101-5026,673774,return,2019-10-26 10:38:00
7-1614-1614-20191014110903-103-6878,684269,return,2019-10-14 11:09:00
7-1614-1614-20191014174535-104-6116,2448705,return,2019-10-14 17:45:00
7-1618-1618-20191022152027-101-3671,1434227,return,2019-10-22 15:20:00
7-1614-1614-20191028132232-104-36,1464506,return,2019-10-28 13:22:00
7-1614-1614-20191028132232-104-36,1800763,return,2019-10-28 13:22:00
7-1614-1614-20191029111220-104-214,686704,return,2019-10-29 11:12:00
7-1618-1618-20191022174304-101-3728,1687682,return,2019-10-22 17:43:00
7-1618-1618-20191003153310-101-8545,620435,return,2019-10-03 15:33:00
7-2350-2350-20191010120519-111-4671,1290603,return,2019-10-10 12:05:00
7-1614-1614-20191001105709-103-2996,1720308,return,2019-10-01 10:57:00
7-1614-1614-20191018150328-104-7152,608836,return,2019-10-18 15:03:00
7-1614-1614-20191018150328-104-7152,605884,return,2019-10-18 15:03:00
7-1618-1618-20191011211119-101-326,2092489,return,2019-10-11 21:11:00
7-1618-1618-20191018180153-101-2411,1202216,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220732,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220529,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220035,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220725,return,2019-10-18 18:01:00
